 INFO  Accepting connections at http://localhost:3000
 HTTP  6/8/2026 7:51:30 AM ::1 GET /
 HTTP  6/8/2026 7:51:30 AM ::1 Returned 200 in 23 ms
 HTTP  6/8/2026 7:51:30 AM ::1 GET /_expo/static/css/web-92710c698e41e29dd734ebcd73545e96.css
 HTTP  6/8/2026 7:51:30 AM ::1 GET /_expo/static/js/web/entry-63155c48f38abba3a9f43d8999ea03fa.js
 HTTP  6/8/2026 7:51:30 AM ::1 Returned 200 in 5 ms
 HTTP  6/8/2026 7:51:30 AM ::1 Returned 200 in 31 ms
 HTTP  6/8/2026 7:52:52 AM ::1 GET /
 HTTP  6/8/2026 7:52:52 AM ::1 Returned 200 in 2 ms
 HTTP  6/8/2026 7:52:52 AM ::1 GET /_expo/static/css/web-92710c698e41e29dd734ebcd73545e96.css
 HTTP  6/8/2026 7:52:52 AM ::1 GET /_expo/static/js/web/entry-63155c48f38abba3a9f43d8999ea03fa.js
 HTTP  6/8/2026 7:52:52 AM ::1 Returned 200 in 2 ms
 HTTP  6/8/2026 7:52:52 AM ::1 Returned 200 in 2 ms
 HTTP  6/8/2026 7:56:22 AM ::1 GET /
 HTTP  6/8/2026 7:56:22 AM ::1 Returned 200 in 2 ms
 HTTP  6/8/2026 7:56:22 AM ::1 GET /_expo/static/css/web-92710c698e41e29dd734ebcd73545e96.css
 HTTP  6/8/2026 7:56:22 AM ::1 GET /_expo/static/js/web/entry-63155c48f38abba3a9f43d8999ea03fa.js
 HTTP  6/8/2026 7:56:22 AM ::1 Returned 200 in 4 ms
 HTTP  6/8/2026 7:56:22 AM ::1 Returned 200 in 5 ms
